BusinessDate,NetAmount_summary
19-07-2023,170.4167
01-02-2023,159.0833
08-09-2023,139.5835
01-11-2023,95.8334
18-08-2023,304.9998
12-02-2023,104.6083
08-04-2023,324.1665
11-11-2023,146.25
06-10-2023,85.4167
28-06-2023,0.0
04-02-2023,151.0834
29-07-2023,124.9999
01-02-2023,159.0833
15-09-2023,0.0
08-02-2023,1137.4997
28-06-2023,61.8749
08-04-2023,402.5836
05-10-2023,233.3333
09-07-2023,267.9166
18-02-2023,259.5833
29-04-2023,93.2915
29-09-2023,36.6667
06-06-2023,190.3749
07-06-2023,242.8749
25-03-2023,357.0416
01-03-2023,346.2668
17-09-2023,132.9167
03-08-2023,0.0
12-11-2023,106.2499
05-10-2023,99.5834
11-02-2023,100.0
15-09-2023,169.1667
23-11-2023,198.7499
18-07-2023,77.6001
22-06-2023,63.5834
21-05-2023,129.5833
23-06-2023,179.3752
29-04-2023,84.5833
12-08-2023,276.1668
02-05-2023,24.1666
01-02-2023,140.15
29-01-2023,95.8998
15-09-2023,45.8333
22-07-2023,610.4162
15-07-2023,0.0
03-06-2023,140.4166
24-01-2023,153.5665
20-05-2023,135.8332
20-05-2023,53.3333
09-08-2023,135.4166
