BusinessDate,CompanyCode,SiteCode,GrossAmount,temp,humidity,precip,snow,holiday,weekend
2023-08-25,C1061,L1098,8716.22,17.7,60.2,2.982,0.0,0,0
2023-08-26,C1061,L1098,8140.88,15.0,82.8,10.543,0.0,0,1
2023-08-27,C1061,L1098,5826.63,15.7,74.3,0.0,0.0,0,1
2023-08-29,C1061,L1098,3689.13,16.9,68.4,0.201,0.0,0,0
2023-08-30,C1061,L1098,5288.47,15.8,68.3,0.002,0.0,0,0
2023-08-31,C1061,L1098,5840.09,14.6,80.7,0.4,0.0,0,0
2023-09-01,C1061,L1098,8710.5,18.4,83.0,0.232,0.0,0,0
2023-09-02,C1061,L1098,10429.26,19.7,76.8,0.0,0.0,0,1
2023-09-03,C1061,L1098,3662.81,19.8,74.5,0.0,0.0,0,1
2023-09-05,C1061,L1098,6222.84,21.9,65.7,0.0,0.0,0,0
2023-09-06,C1061,L1098,7536.26,23.1,67.0,0.0,0.0,0,0
2023-09-07,C1061,L1098,8419.14,24.1,66.7,0.0,0.0,0,0
2023-09-08,C1061,L1098,9115.39,23.7,69.0,0.0,0.0,0,0
2023-09-09,C1061,L1098,7294.5,25.2,61.0,0.0,0.0,0,1
2023-09-10,C1061,L1098,6135.5,23.9,69.0,0.0,0.0,0,1
2023-09-12,C1061,L1098,6932.35,19.8,77.2,0.019,0.0,0,0
2023-09-13,C1061,L1098,6988.36,17.0,70.9,0.206,0.0,0,0
2023-09-14,C1061,L1098,12847.57,18.0,68.3,0.0,0.0,0,0
2023-09-15,C1061,L1098,4193.0,18.7,72.3,0.0,0.0,0,0
2023-09-16,C1061,L1098,8970.13,20.2,69.5,0.0,0.0,0,1
2023-09-17,C1061,L1098,4881.29,18.7,83.2,0.033,0.0,0,1
2023-09-19,C1061,L1098,5399.39,16.6,78.1,0.4,0.0,0,0
2023-09-20,C1061,L1098,8616.24,17.9,81.0,0.152,0.0,0,0
2023-09-21,C1061,L1098,9478.0,14.1,85.0,25.267,0.0,0,0
2023-09-22,C1061,L1098,9444.84,13.5,79.8,7.942,0.0,0,0
2023-09-23,C1061,L1098,11452.88,13.3,70.6,0.399,0.0,0,1
2023-09-24,C1061,L1098,4719.04,16.6,73.1,0.0,0.0,0,1
2023-09-26,C1061,L1098,6340.84,18.3,76.0,0.0,0.0,0,0
2023-09-27,C1061,L1098,7255.49,18.0,79.0,0.0,0.0,0,0
2023-09-28,C1061,L1098,8134.19,17.2,70.3,0.001,0.0,0,0
2023-09-29,C1061,L1098,8930.3,17.5,72.9,1.221,0.0,0,0
2023-09-30,C1061,L1098,12283.4,15.5,74.0,0.0,0.0,0,1
2023-10-01,C1061,L1098,5548.4,18.6,80.9,0.0,0.0,0,1
2023-10-03,C1061,L1098,7071.39,15.5,74.0,0.604,0.0,0,0
2023-10-04,C1061,L1098,8902.7,14.3,75.3,0.198,0.0,0,0
2023-10-05,C1061,L1098,9689.4,15.3,72.1,0.0,0.0,0,0
2023-10-06,C1061,L1098,9402.4,16.7,76.0,0.0,0.0,0,0
2023-10-07,C1061,L1098,13582.1,18.5,73.0,0.0,0.0,0,1
2023-10-08,C1061,L1098,5955.4,18.1,73.3,0.0,0.0,0,1
2023-10-10,C1061,L1098,9086.2,17.4,79.7,0.0,0.0,0,0
2023-10-11,C1061,L1098,6618.5,17.4,82.6,0.009,0.0,0,0
2023-10-12,C1061,L1098,9434.4,14.9,94.4,0.057,0.0,0,0
2023-10-13,C1061,L1098,10622.7,17.1,84.4,0.104,0.0,0,0
2023-10-14,C1061,L1098,16320.3,10.2,75.1,3.189,0.0,0,1
2023-10-15,C1061,L1098,4555.5,7.5,69.4,0.0,0.0,0,1
2023-10-17,C1061,L1098,6746.6,12.6,65.6,0.0,0.0,0,0
2023-10-18,C1061,L1098,9792.5,13.4,81.7,0.089,0.0,0,0
2023-10-19,C1061,L1098,9185.8,16.4,86.8,11.155,0.0,0,0
2023-10-20,C1061,L1098,10424.4,14.9,89.9,23.405,0.0,0,0
2023-10-21,C1061,L1098,14962.4,13.4,90.6,0.047,0.0,0,1
2023-10-22,C1061,L1098,4433.0,10.9,80.7,11.711,0.0,0,1
2023-10-24,C1061,L1098,5565.0,11.1,86.6,0.035,0.0,0,0
2023-10-25,C1061,L1098,6854.9,11.1,85.8,2.789,0.0,0,0
2023-10-26,C1061,L1098,8633.9,12.2,86.9,2.808,0.0,0,0
2023-10-27,C1061,L1098,9703.5,10.6,89.2,1.398,0.0,0,0
2023-10-28,C1061,L1098,16163.1,12.1,87.9,2.26,0.0,0,1
2023-10-29,C1061,L1098,4706.0,10.7,89.2,7.058,0.0,0,1
2023-10-31,C1061,L1098,6511.6,10.7,90.5,0.013,0.0,0,0
2023-11-01,C1061,L1098,7466.3,12.4,84.5,7.432,0.0,0,0
2023-11-02,C1061,L1098,10848.9,10.4,88.9,14.06,0.0,0,0
2023-11-03,C1061,L1098,12009.6,9.9,82.2,0.03,0.0,0,0
2023-11-04,C1061,L1098,12168.0,9.1,90.7,1.839,0.0,0,1
2023-11-05,C1061,L1098,7083.5,10.2,82.3,0.011,0.0,0,1
2023-11-07,C1061,L1098,5690.5,8.6,84.5,0.0,0.0,0,0
2023-11-08,C1061,L1098,9250.7,9.5,90.8,0.04,0.0,0,0
2023-11-09,C1061,L1098,8182.0,8.2,83.9,4.973,0.0,0,0
2023-11-10,C1061,L1098,9682.9,7.5,83.6,0.013,0.0,0,0
2023-11-11,C1061,L1098,12814.6,5.8,87.9,0.596,0.0,0,1
2023-11-12,C1061,L1098,3720.0,8.0,90.2,0.203,0.0,0,1
2023-11-14,C1061,L1098,8953.5,10.8,86.7,10.21,0.0,0,0
2023-11-15,C1061,L1098,8655.2,9.0,82.5,0.198,0.0,0,0
2023-11-16,C1061,L1098,7120.7,7.2,88.6,0.01,0.0,0,0
2023-11-17,C1061,L1098,10562.1,7.1,88.5,0.597,0.0,0,0
2023-11-18,C1061,L1098,16588.3,12.4,90.8,3.221,0.0,0,1
2023-11-19,C1061,L1098,7149.5,12.4,78.2,1.392,0.0,0,1
2023-11-21,C1061,L1098,7553.4,10.2,84.1,0.4,0.0,0,0
2023-11-22,C1061,L1098,7864.0,8.3,86.5,0.0,0.0,0,0
2023-11-23,C1061,L1098,7752.0,10.6,86.3,0.0,0.0,0,0
2023-11-24,C1061,L1098,10962.6,8.1,60.3,0.0,0.0,0,0
2023-11-25,C1061,L1098,12058.0,3.2,73.4,0.0,0.0,0,1
2023-11-26,C1061,L1098,7005.0,4.1,90.7,0.028,0.0,0,1
2023-11-28,C1061,L1098,6727.9,5.2,82.7,2.384,0.0,0,0
2023-11-29,C1061,L1098,9910.0,3.8,78.1,0.0,0.0,0,0
2023-11-30,C1061,L1098,8546.1,1.9,82.4,0.0,0.0,0,0
2023-12-01,C1061,L1098,11486.8,1.5,86.3,0.001,0.0,0,0
2023-12-02,C1061,L1098,15653.7,-0.5,92.7,0.0,0.0,0,1
2023-12-03,C1061,L1098,5807.1,5.4,92.0,0.422,0.0,0,1
2023-12-05,C1061,L1098,9636.7,6.3,88.5,2.4,0.0,0,0
2023-12-06,C1061,L1098,11047.0,3.8,88.1,0.0,0.0,0,0
2023-12-07,C1061,L1098,20861.9,7.2,84.5,1.611,0.0,0,0
2023-12-08,C1061,L1098,15279.4,8.8,87.9,0.01,0.0,0,0
2023-12-09,C1061,L1098,16647.9,10.3,80.1,1.659,0.0,0,1
2023-12-10,C1061,L1098,5233.91,9.8,80.7,7.757,0.0,0,1
2023-12-12,C1061,L1098,9092.4,9.4,93.9,5.645,0.0,0,0
2023-12-13,C1061,L1098,13647.7,7.8,87.6,6.165,0.0,0,0
2023-12-14,C1061,L1098,16113.2,6.0,89.9,0.598,0.0,0,0
2023-12-15,C1061,L1098,13997.5,7.5,83.5,0.0,0.0,0,0
2023-12-16,C1061,L1098,11222.7,10.0,88.6,0.0,0.0,0,1
2023-12-17,C1061,L1098,7976.6,10.3,79.2,0.0,0.0,0,1
2023-12-19,C1061,L1098,10330.5,10.3,88.8,15.572,0.0,0,0
2023-12-20,C1061,L1098,8041.7,8.2,83.3,0.0,0.0,0,0
2023-12-21,C1061,L1098,6688.8,12.1,71.6,0.001,0.0,0,0
2023-12-22,C1061,L1098,5389.4,11.0,73.7,0.2,0.0,0,0
2023-12-23,C1061,L1098,5239.1,10.8,75.2,0.0,0.0,0,1
2023-12-27,C1061,L1098,6059.6,10.5,85.8,4.0,0.0,0,0
2023-12-28,C1061,L1098,6383.0,11.7,75.1,0.231,0.0,0,0
2023-12-29,C1061,L1098,8684.8,9.8,74.9,3.177,0.0,0,0
2023-12-30,C1061,L1098,7345.9,9.8,83.7,0.206,0.0,0,1
2023-12-31,C1061,L1098,7695.5,8.5,81.8,7.999,0.0,0,1
2024-01-03,C1061,L1098,4074.8,10.0,80.7,1.799,0.0,0,0
2024-01-04,C1061,L1098,4202.0,8.0,86.3,21.797,0.0,0,0
2024-01-05,C1061,L1098,5708.1,6.6,84.8,1.41,0.0,0,0
2024-01-06,C1061,L1098,8753.1,6.1,79.4,0.205,0.0,0,1
2024-01-07,C1061,L1098,4650.7,4.0,69.6,0.0,0.0,0,1
2024-01-10,C1061,L1098,2922.4,3.1,63.7,0.0,0.0,0,0
2024-01-11,C1061,L1098,4995.8,3.2,82.0,0.0,0.0,0,0
2024-01-12,C1061,L1098,11485.4,5.5,79.5,0.0,0.0,0,0
2024-01-13,C1061,L1098,15097.0,3.3,82.6,0.0,0.0,0,1
